PERMNO,date,PRC,RET,SHROUT,RETX,sprtrn
18248,2019-03-25,9.92000,-0.005015,44000,-0.005015,-0.000839
18248,2019-03-26,9.93000,0.001008,44000,0.001008,0.007183
18248,2019-03-27,-9.93500,0.000504,44000,0.000504,-0.004644
18248,2019-03-28,-9.93000,-0.000503,44000,-0.000503,0.003590
18248,2019-03-29,9.94000,0.001007,44000,0.001007,0.006734
18248,2019-04-01,9.93000,-0.001006,44000,-0.001006,0.011569
18248,2019-04-02,9.92000,-0.001007,44000,-0.001007,0.000017
18248,2019-04-03,9.91000,-0.001008,44000,-0.001008,0.002148
18248,2019-04-04,9.91000,0.000000,44000,0.000000,0.002085
18248,2019-04-05,9.90000,-0.001009,44000,-0.001009,0.004636
18248,2019-04-08,-9.92500,0.002525,44000,0.002525,0.001047
18248,2019-04-09,10.05000,0.012594,44000,0.012594,-0.006067
18248,2019-04-10,9.95000,-0.009950,44000,-0.009950,0.003478
18248,2019-04-11,10.14000,0.019096,44000,0.019096,0.000038
18248,2019-04-12,10.07000,-0.006903,44000,-0.006903,0.006609
18248,2019-04-15,10.05000,-0.001986,44000,-0.001986,-0.000629
18248,2019-04-16,10.04000,-0.000995,44000,-0.000995,0.000509
18248,2019-04-17,9.98000,-0.005976,44000,-0.005976,-0.002274
18248,2019-04-18,-10.01500,0.003507,44000,0.003507,0.001579
18248,2019-04-22,9.97000,-0.004493,44000,-0.004493,0.001012
18248,2019-04-23,9.99000,0.002006,44000,0.002006,0.008841
18248,2019-04-24,9.99000,0.000000,44000,0.000000,-0.002192
18248,2019-04-25,9.87000,-0.012012,44000,-0.012012,-0.000369
18248,2019-04-26,9.95000,0.008105,44000,0.008105,0.004685
18248,2019-04-29,9.98000,0.003015,44000,0.003015,0.001071
18248,2019-04-30,9.96000,-0.002004,44000,-0.002004,0.000951
18248,2019-05-01,-9.97500,0.001506,44000,0.001506,-0.007502
18248,2019-05-02,-10.00000,0.002506,44000,0.002506,-0.002124
18248,2019-05-03,-9.99500,-0.000500,44000,-0.000500,0.009638
18248,2019-05-06,9.99980,0.000480,44000,0.000480,-0.004471
18248,2019-05-07,9.95000,-0.004980,44000,-0.004980,-0.016512
18248,2019-05-08,9.95000,0.000000,44000,0.000000,-0.001605
18248,2019-05-09,10.03000,0.008040,44000,0.008040,-0.003021
18248,2019-05-10,9.99230,-0.003759,44000,-0.003759,0.003720
18248,2019-05-13,10.00000,0.000771,44000,0.000771,-0.024131
